masterpiece,명작
colored_pencil,색연필
calligraphy_brush,서예 붓
watercolor,수채화
watercolor_pencil,수채화 연필
charcoal,숯
acrylic_paint,아크릴 물감
airbrush,에어브러시
oil_painting,유화
ink,잉크
canvas,캔버스
crayon,크레용
pastel,파스텔
nib_pen,펜촉
coupy_pencil,플라스틱 연필
painting,회화
graphite,흑연
porn,포르노
sex_video,섹스 비디오
revenge_porn,리벤지 포르노
male_focus,남자에 집중
female_focus,여자에 집중
front_focus,앞쪽에 집중
back_focus,뒤쪽에 집중
other_focus,바깥에 집중
eye_focus,눈에 집중
hand_focus,손에 집중
foot_focus,발에 집중
breast_focus,가슴에 집중
armpit_focus,겨드랑이에 집중
navel_focus,배꼽에 집중
thigh_focus,허벅지에 집중
ass_focus,엉덩이에 집중
face,범위를 얼굴에
upper_body,범위를 상체에
lower_body,범위를 하체에
cowboy_shot,범위를 얼굴~허벅지에
feet_out_of_frame,범위를 얼굴~발목에
fullbody,범위를 전신까지
wide_shot,범위를 멀리서
very_wide_shot,범위를 매우 멀리서
looking_at_viewer,시점을 뷰어에
looking_up,시점을 위에
looking_down,시점을 아래로
looking_front,시점을 앞으로
looking_back,시점을 뒤로
looking_away,시점을 멀리
looking_outside,시점을 밖에
looking_to_the_side,시점을 측면에
eye_contact,시점을 눈에
looking_at_hand,시점을 손에
looking_through_legs,시점을 다리에
looking_at_breasts,시점을 가슴에
looking_at_ass,시점을 엉덩이에
looking_at_another,시점을 다른 사람에
looking_at_mirror,시점을 거울에
looking_at_phone,시점을 전화에
looking_over_eyewear,시점을 안경 밖에
1koma,1컷
2koma,2컷
3koma,3컷
4koma,4컷
5koma,5컷
6koma,6컷
cross-section,추가적인 컷씬
borderless_panels,테두리 없는 컷
left-to-right_manga,왼쪽에서 오른쪽 컷 진행
right-to-left_comic,오른쪽에서 왼쪽 컷 진행
fire* effect,불 효과
flame* effect,화염 효과
spark* effect* spark,전기 효과
lightning* effect,번개 효과
wind* effect,바람 효과
wave* effect,파도 효과
magical* effect,매지컬 효과
effect* glossy,광택 효과
effect* light_rays,광선 효과
effect* speed_lines,집중선 효과
* effect* trembling,떨림 효과
effect* blur,블러 효과
effect* motion_blur,모션 블러 효과
dynamic_angle,역동적인 각도
dynamic_pose,역동적인 포즈
* light_particle,반짝이는 입자 효과
light* gray_particle,회색 입자가 반짝히는 효과
light* white_particle,흰색 입자가 반짝히는 효과
light* brown_particle,갈색 입자가 반짝히는 효과
light* red_particle,빨강색 입자가 반짝히는 효과
light* pink_particle,분홍색 입자가 반짝히는 효과
light* orange_particle,주황색 입자가 반짝히는 효과
light* yellow_particle,노란색 입자가 반짝히는 효과
light* golden_particle,황금색 입자가 반짝히는 효과
light* light_green_particle,연두색 입자가 반짝히는 효과
light* green_particle,초록색 입자가 반짝히는 효과
light* sky_blue_particle,하늘색 입자가 반짝히는 효과
light* blue_particle,파란색 입자가 반짝히는 효과
light* purple_particle,보라색 입자가 반짝히는 효과
light* black_particle,검은색 입자가 반짝히는 효과
light* rainbow_particle,무지개색 입자가 반짝히는 효과
* swirling_around_the_character,캐릭터 주변을 휘몰아치는 효과
fire* swirling_around_the_character,불이 휘몰아치는 효과
water* swirling_around_the_character,물이 휘몰아치는 효과
wind* swirling_around_the_character,바람이 휘몰아치는 효과
lighting* swirling_around_the_character,번개가 휘몰아치는 효과
wave* swirling_around_the_character,파도가 휘몰아치는 효과
gray_background,회색
white_background,흰색
brown_background,갈색
red_background,빨강색
pink_background,분홍색
orange_background,주황색
yellow_background,노란색
golden_background,황금색
light_green_background,연두색
green_background,초록색
sky_blue_background,하늘색
blue_background,파란색
purple_background,보라색
black_background,검은색
rainbow_background,무지개색
two-tone_background,투 톤
streaked_background,줄무늬
gradient_background,그라데이션
split-color_background,색깔 분열
multicolored_background,여러 색깔
colored_inner_background,내부 착색
plaid_background,격자 무늬
strawberry_background,딸기 무늬
polka_dot_background,물방울 무늬
american_flag_background,미국 국기 무늬
argyle_background,아가일 무늬
camouflage_background,위장 무늬
print_background,인쇄한 무늬
diagonal-striped_background,사선 줄무늬
vertical-striped_background,세로 줄무늬
checkered_background,체크 무늬
asia,아시아
korea,한국
north_korea,북한
japan,일본
china,중국
hong_kong,홍콩
taiwan,대만
mongolia,몽골
thailand,태국
vietnam,베트남
canada,캐나다
mexico,멕시코
brazil,브라질
argentina,아르헨티나
uruguay,우르과이
chile,칠레
colombia,콜롬비아
paraguay,파라과이
russia,러시아
belarus,벨라루스
ukraine,우크라이나
netherlands,네덜란드
monaco,모나코
belgium,벨기에
ireland,아일랜드
briton,영국
france,프랑스
greece,그리스
romania,루마니아
vatican,바티칸
bulgaria,불가리아
spain,스페인
italy,이탈리아
turkey,터키
portugal,포르투갈
norway,노르웨이
denmark,덴마크
sweden,스웨덴
finland,핀란드
iceland,아이슬란드
house,집
apartment,아파트
hut,오두막
shack,오두막집
treehouse,나무 위의집
stilt_house,물 위의 집
closet,옷장
bathroom,화장실
bathtub,욕조
bedroom,침실
changing_room,탈의실
fitting_room,피팅룸
kitchen,주방
living_room,거실
messy_room,지저분한방
otaku_room,오타쿠방
shower,샤워실
toilet_stall,칸막이화장실
prison_cell,감옥
dungeon,지하 감옥
minaret,건물 난간
church,교회
military_base,군사 기지
bunker,군사 벙커
library,도서관
city,도시
park,공원
village,마을
town,빌딩
rural,시골
floating_city,이동하는 도시
garden,정원
graveyard,묘지
courtroom,법정
infirmary,병실
hospital,병원
mosque,사원
castle,성
love_hotel,러브 호텔
hotel,호텔
hotel_room,호텔방
shrine,신사
ruins,유적
phone_booth,전화 부스
temple,절
school,학교
rooftop,건물 옥상
classroom,교실
clubroom,동아리실
office,사무실
staff_room,직원실
cubicle_1_cubicle,1인 사무실
arcade,게임장
stadium,경기장
ferris_wheel,관람차
amphitheater,영화관
theater,원형극장
amusement_park,놀이공원
zoo,동물원
roller_coaster,롤러코스터
art_gallery,미술관
museum,박물관
mall,쇼핑센터
aquarium,수족관
bar,술집
onsen,온천
nightclub,클럽
arena,투기장
carousel,회전목마
stage,무대
convention,이벤트 무대
locker_room,라커룸
bowling_alley,볼링장
pool,수영장
skating_rink,스케이트장
playground,운동장
running_track,육상경기장
soccer_field,축구장
waterpark,워터파크
gym_storeroom,체육관창고
poolside,풀사이드
gym,헬스장
shop,가게
cafeteria,구내식당
flower_shop,꽃집
restaurant,레스토랑
weapon_shop,무기상점
armory,무기창고
bakery,빵집
salon,샬롱
bookstore,서점
sex_shop,성인 도구가게
supermarket,슈퍼 마켓
market,시장
dining_room,식당
pharmacy,야외
storage_room,창고
cafe,카페
convenience_store,편의점
street,거리
alley,골목
path,길
bridge,다리
sidewalk,보도
crosswalk,횡단보도
stone_walkway,돌 산책로
wooden_bridg,나무 다리
rope_bridge,밧줄 다리
road,도로
highway,고속도로
garage,차고
tunnel,터널
gas_station,주유소
parking_lot,주차장
train_station,기차역
railroad_tracks,철도 선로
railroad_crossing,교차로
harbor,항구
canal,운하
pier,교각
jetty,선착장
hangar,격납고
airport,공항
airfield,비행장
runway,활주로
control_tower,컨트롤 타워
construction_site,건설현장
factory,공장
flower_field,꽃밭
cooling_tower,냉각탑
wheat_field,밀밭
powerplant,발전소
field,밭
laboratory,별자리 투영기
rice_paddy,쌀밭
conservatory,온실
barn,외양간
nuclear_powerplant,원자력 발전소
workshop,작업장
gazebo,전망대
refinery,정련소
river,강
stream,개울
cliff,낭떠러지
bamboo_forest,대나무숲
ocean,대양
cave,동굴
meadow,목초지
jungle,밀림
glacier,빙하
desert,사막
savannah,사바나
mountain,산
island,섬
floating_island,섬이 떠다니다
hill,언덕
pond,연못
oasis,오아시스
nature,자연
waterfall,폭포
beach,해변
shore,해변가
ocean_bottom,해저
canyon,협곡
lake,호수
volcano,화산
wasteland,황무지
megastructure,거대 구조물
guard_tower,경비탑
dam,댐
dock,둑
lighthouse,등대
skyscraper,마천루
fountain,분수
aqueduct,수로
clock_tower,시계탑
space_elevator,우주 엘리베이터
bell_tower,종탑
pagoda,탑
1other,1명
2other,2명
3other,3명
4other,4명
5other,5명
6other,6명
1boys,남성 1명
2boys,남성 2명
3boys,남성 3명
4boys,남성 4명
5boys,남성 5명
6boys,남성 6명
1girls,여성 1명
2girls,여성 2명
3girls,여성 3명
4girls,여성 4명
5girls,여성 5명
6girls,여성 6명
son,아들
daughter,딸
father,아버지
mother,어머니
aunt,이모
uncle,삼촌
cousins,사촌
granddaughter,할아버지
grandmother,할머니
brother,형
older_sister,누나
younger_brother,남동생
younger_sister,여동생
siblings,형제
sisters,자매
brother_and_sister,형제와 자매
step-siblings,의붓 형제
half-siblings,이복 형제자매
multiple_births,다태아
twins,쌍둥이
triplets,세 쌍둥이
quadruplets,네 쌍둥이
sextuplets,다섯 쌍둥이
septuplets,일곱 쌍둥이
father_and_son,아버지와 아들
father_and_daughter,아버지와 딸
mother_and_son,어머니와 아들
mother_and_daughter,어머니와 딸
uncle_and_nephew,삼촌과 남자 조카
uncle_and_niece,삼촌과 여자 조카
aunt_and_niece,이모와 여자 조카
aunt_and_nephew,이모와 남자 조카
grandfather_and_grandson,할아버지와 손자
grandfather_and_granddaughter,할아버지와 손녀
grandmother_and_grandson,할머니와 손자
grandmother_and_granddaughter,할머니와 손녀
yellow_man,황인
a_mixed_eastern_blood,동앙계 혼혈
eastern_quota,동양계 쿼터
white_man,백인
a_mixed_race_of_white_blood,백인계 혼혈
white_quarter,백인계 쿼터
black_man,흑인
a_mixed_race_of_black_people,흑인계 혼혈
black_quarter,흑인계 쿼터
korean,한국인
north_koreans,북한인
japanese,일본인
chinese,중국인
hong_kong_people,홍콩인
taiwanese,대만인
mongolians,몽골인
thai,태국인
vietnamese_people,베트남인
canadian,캐나다인
mexicans,멕시코인
american,미국인
brazilians,브라질인
argentines,아르헨티나인
uruguayan_people,우르과이인
chilean_people,칠레인
colombian_people,콜롬비아인
paraguayan_people,파라과이인
russian_people_of_russia,러시아인
belarusian_people,벨라루스인
ukrainians,우크라이나인
dutch,네덜란드인
people_of_monaco,모나코인
belgians,벨기에인
irishman,아일랜드인
british,영국인
french,프랑스인
greeks,그리스인
romanian_people,루마니아인
vatican_people,바티칸인
bulgarian,불가리아인
spanish,스페인인
italians,이탈리아인
turkish_people,터키인
portuguese_people,포르투갈인
norwegian_people,노르웨이인
danish_people,덴마크인
swedes,스웨덴인
finns,핀란드인
icelanders,아이슬란드인
darudere,다루데레
megadere,메가데레
menhera,멘헤라
bokodere,보코데레
yandere,얀데레
tsundere,츤데레
kuudere,쿨데레
lawful_good,질서 선
lawful_neutral,질서 중립
lawful_evil,질서 악
neutral_good,중립 선
true_neutral,중립
neutral_evil,중립 악
chaotic_good,혼돈 선
chaotic_neutral,혼돈 중립
chaotic_evil,혼돈 악
goblin,고블린
elf,엘프
dark_elf,다크 엘프
high_elf,하이 엘프
orc,오크
monster,요괴
fairy,요정
dragon,용
ghost,유령
spirit,정령
angel,천사
devil,악마
vampire,흡혈귀
dog,강아지
gorilla,고릴라
cat,고양이
bear,곰
raccoon,너구리
wolf,늑대
squirrel,다람쥐
pig,돼지
horse,말
bat,박쥐
deer,사슴
lion,사자
cow,소
sheep,양
fox,여우
goat,염소
monkey,원숭이
ferret,족제비
mouse,쥐
rabbit,토끼
panda,팬더
tiger,호랑이
dog_anthro,강아지 인간
gorilla_anthro,고릴라 인간
cat_anthro,고양이 인간
bear_anthro,곰 인간
raccoon_anthro,너구리 인간
wolf_anthro,늑대 인간
squirrel_anthro,다람쥐 인간
pig_anthro,돼지 인간
horse_anthro,말 인간
bat_anthro,박쥐 인간
deer_anthro,사슴 인간
lion_anthro,사자 인간
cow_anthro,소 인간
sheep_anthro,양 인간
fox_anthro,여우 인간
goat_anthro,염소 인간
monkey_anthro,원숭이 인간
ferret_anthro,족제비 인간
mouse_anthro,쥐 인간
rabbit_anthro,토끼 인간
panda_anthro,팬더 인간
tiger_anthro,호랑이 인간
dog_furry,강아지 수인
gorilla_furry,고릴라 수인
cat_furry,고양이 수인
bear_furry,곰 수인
raccoon_furry,너구리 수인
wolf_furry,늑대 수인
squirrel_furry,다람쥐 수인
pig_furry,돼지 수인
horse_furry,말 수인
bat_furry,박쥐 수인
deer_furry,사슴 수인
lion_furry,사자 수인
cow_furry,소 수인
sheep_furry,양 수인
fox_furry,여우 수인
goat_furry,염소 수인
monkey_furry,원숭이 순인
ferret_furry,족제비 수인
mouse_furry,쥐 수인
rabbit_furry,토끼 수인
panda_furry,팬더 수인
tiger_furry,호랑이 수인
burglar,강도
gyaru,갸루
construction_worker,건설 노동자
miner,광부
florist,꽃집 직원
lumberjack,나무꾼
librarian,사서
croupier,상인
shepherd,양치기
mechanic,정비공
politician,정치가
terrorist,테러리스트
judge,판사
student,학생
hacker,해커
salaryman,회사원
hikikomori,히키코모리
guard,경비원
police,경찰
janitor,관리인
soldier,군인
standard-bearer,군인
lifeguard,근위대
sailor,선원
firefighter,소방관
spy,스파이
astronaut,우주 비행사
chef,요리사
conductor,지휘자
bodyguard,친위대
bartender,바텐더
waiter,웨이터
waitress,웨이트리스
butler,집사
cashier,카운터 직원
maid,메이드
nuss_made,너스 메이드
ladies_made,레이디스 메이드
military_made,밀리터리 메이드
victoria_maid,빅토리아 메이드
cybermade,사이버 메이드
steampunk_made,스팀펑크 메이드
japanese-style_made,일본풍 메이드
china-style_made,차이나 메이드
classic_maid,클래식 메이드
kitchen_made,키친 메이드
faller_made,팔러 메이드
french_made,프렌치 메이드
house_made,하우스 메이드
housekeeper,하우스키퍼
scientist,과학자
chemist,화학자
engineer,엔지니어
geisha,게이샤
idol,아이돌
actor,남성 배우
actress,여성 배우
musician,음악가
painter,화가
artist,예술가
athlete,운동선수
footballer,축구선수
baseball_player,야구선수
volleyball_player,배구선수
golfer,골프 선수
tennis_player,테니스 선수
cyclist,자전거 선수
teacher,교사
math_teacher,수학 교사
science_teacher,과학 교사
english_teacher,영어 교사
health_teacher,보건 교사
driver,운전사
pilot,조종사
train_attendant,기차 안내원
train_conductor,기차 운전사
flight_attendant,비행기 안내원
trucker,트럭 운전사
doctor,의사
nurse,간호사
dentist,치과 의사
slave,노예
farmer,농장주
queen,여왕
king,왕
prisoner,죄인
dominatrix,지배자
knight,기사
ninja,닌자
witch,마녀
wizard,마법사
miko,무녀
samurai,사무라이
priest,성직자
nun,수녀
monk,수도사
alchemist,연금술사
warrior,전사
slut,걸레
bitch,빗치
whore,창녀
call_girl,콜걸
stripper,스트립퍼
prostitution,매춘부
porno_actor,포르노 배우
fullmetal_alchemist,강철의 연금술사
goblin_slayer,고블린 슬레이어
ghost_in_the_shell,공각기동대
kimetsu_no_yaiba,귀멸의 칼날
naruto,나루토
my_hero_academia,나의 히어로 아카데미아
rakudai_kishi_no_cavalry,낙제기사의 영웅담
danganronpa,단간론파
darling_in_the_franxx,달링 인 더 프랑키스
tokyo_ghoul,도쿄 구울
dragon_boll,드래곤볼
log_horizon,로그 호라이즌
magi:the_kingdom_of_magic,마기
mahou_shoujo_lyrical_nanoha,마법소녀 리리컬 나노하
mirai_nikki,미래일기
bakemonogatari,바케모노가타리
tate_no_yuusha_no_nariagari,방패용사 성공담
beelzebub,벨제부브
black_lagoon,블랙 라군
black_bullet,블랙 불릿
black_clover,블랙 클로버
blue_archive,블루 아카이브
bleach,블리치
shinmai_maou_no_testament,새여동생 마왕의 계약자
sword_art_online,소드 아트 온라인
soul_eater,소울 이터
strike_the_blood,스트라이크 더 블러드
spy_x_family,스파이 패밀리
ansatsu_kyoushitsu,암살교실
evangelion,에반게리온
overlord,오버로드
one_punch_man,원펀맨
one_piece,원피스
youjo_senki,유녀전기
yu_gi_oh,유희왕 시리즈
gintama,은혼
inuyasha,이누야샤
is:_infinite_stratos,인피니트 스트라토스
nanatsu_no_taizai,일곱 개의 대죄
tensei_shitara_slime_datta_ken,전생했더니 슬라임이었던 건에 대하여
zero_no_tsukaima,제로의 사역마
jojo_no_kimyou_na_bouken,죠죠의 기묘한 모험
shingeki_no_kyojin,진격의 거인
tengen_toppa_gurren_lagann,천원돌파 그렌라간
ao_no_exorcist,청의 엑소시스트
code_geass,코드 기어스
kill_la_kill,킬 라 킬
trinity_seven,트리니티 세븐
fairy_tail,페어리테일
pokemon,포켓몬 시리즈
dxd_highschool_dxd,하이스쿨
highschool_of_the_dead,하이스쿨 오브 더 데드
gakusen_toshi_asterisk,학전도시 아스터리스크
hellsing,헬싱
fine_art_parody={toaru_project},어떤 마술과학의 시리즈
fine_art_parody={tensei_shitara_slime_datta_ken},전생했더니 슬라임이었던 건에
lust,러스트
riza_hawkeye,리자 호크아이
olivier_mira_armstrong,올리비에 밀라 암스트롱
winry_rockbell,윈리 록벨
izumi_curtis,이즈미 카터스
sword_maiden,검의 처녀
cow_girl(goblin_slayer),소치기 소녀
high_elf_archer(goblin_slayer),엘프 궁수
priestess(goblin_slayer),여신관
guild_girl(goblin_slayer),접수원 아가씨
motoko_kusanagi,쿠사나기 모토코
daki,다키
makio,마키오
suma,츠마
kanao_tsuyuri,츠유리 카나에
nezuko_kamado,카마도 네지로
shinobu_kocho,코쵸 시노부
hinatsuru,히나츠루
rin_nohara,노하라 린
yugito_nii,니이 유기토
mabui,마부이
matsuri,마츠이
anko_mitarashi,미타라시 앙코
samui,사무이
shizune,시즈네
ayame,아마네
ino_yamanaka,야마나카 이노
kaguya_otsutsuki,오오츠츠키 카구야
mito_uzumaki,우즈마키 미토
karin_uzumaki,우즈마키 카린
kushina_uzumaki,우즈마키 쿠시나
mikoto_uchiha,우치하 미코토
yuuhi_kurenai,유우히 쿠레나이
tsunade,츠나데
karui,카루이
konan,코난
kurotsuchi,쿠로츠치
tayuya,타유야
mei_terumi,테루미 메이
temari,테마리
tenten,텐텐
pakura,파쿠라
sakura_haruno,하루노 사쿠라
fuu,후우
hinata_hyuuga,휴우가 히나타
hanabi_hyuuga,휴우카 히나비
tatami_nakagame,나카가메 타타미
lovelover,러브러버
lady_nagant,레이디 나강
ragdoll,렉돌
ryukyu,류쿠
mandalay,만달레이
melissa_shield,멜리사 실드
midnight,미드나이트
mirko,미르코
mitsuki_bakugo,바쿠고 미츠키
burnin,버닝
nana_shimura,시무라 나나
tsuyu_asui,아스이 츠유
mina_ashido,아시도 미나
reiko_yanagi,야나기 레이코
momo_yaoyorozu,야오요로즈 모모
ochaco_uraraka,우라라카 오챠코
uwabami,우사바미
camie_utsushimi,우츠시미 케미
kyoka_jiro,지로 쿄카
itsuka_kendo,켄도 이츠카
chitose_kizuki,큐리어스
himiko_toga,토가 히미코
rei_todoroki,토도로키 레이
fuyumi_todoroki,토도로키 후유미
setsuna_tokage,토카게 세츠나
pixie-bob,픽시 팝
toru_hagakure,하가쿠레 토오루
nejire_hado,하도 네지레
mei_hatsume,하츠메 메이
stella_vermillion,스텔라 버밀리온
shizuku_kurogane,쿠로가네 시즈쿠
ayase_ayatsuji,아야츠지 아야세
touka_toudou,토도 토카
chiaki_nanami,나나미 치아키
sayaka_maizono,마이조노 사야카
ibuki_mioda,미오다 이부키
hiyoko_saionji,사이욘지 이요코
celestia_ludenberg,셀레스티아 루덴베르크
sonia_nevermind,소니아 네버마인드
tsumugi_shirogane,시로가네 츠무기
aoi_asahina,아사히나 아오이
kaede_akamatsu,아카마츠 카에데
junko_enoshima,에노시마 쥰코
akane_owari,오와리 아카네
angie_yonaga,요나가 안지
himiko_yumeno,유메노 히미코
miu_iruma,이루마 미우
mukuro_ikusaba,이쿠사바 무쿠로
tenko_chabashira,챠바시라 텐코
mikan_tsumiki,츠미키 미캉
mahiru_koizumi,코이즈미 마히루
kyoko_kirigiri,키리기리 쿄코
kirumi_tojo,토죠 쿠루미
peko_pekoyama,페코야마 페코
maki_harukawa,하라쿠와 마키
toko_fukawa,후카와 토코
ichigo,이치고
zero_two,제로투
kokoro,코코로
daphne_lauros,다프네 라우로스
demeter(dunmachi),데메테르
revis,레비스
lefiya_viridis,레피야 비리디스
loki(dunmachi),로키
ryuu_lion,류 리온
riveria_ljos_alf,리베리아 리요스 알브
sanjouno_haruhime,산죠노 하루히메
syr_flova,시르 플로버
anya_fromel,아냐 프로멜
alicia_forestlight,아라시아 포레스트라이트
airmid_teasanare,아미드 테아사나레
asfi_al_andromeda,아스피 알 안드로메다
aisha_belka,아이샤 벨카
ais_wallenstein,아이즈 발렌슈타인
eina_tulle,에이나 튤
ishtar(dunmachi),이슈타르
cassandra_ilion,카산드라 일리온
tiona_hiryute,티오나 히류테
tione_hiryute,티오네 히류테
freya(dunmachi),프레이야
hestia(dunmachi),헤스티아
hephaestus(dunmachi),헤파이스토스
ching-li_hsiao,샤오 진리
saiko_yonebayashi,요네바야시 사이코
eto_yoshimura,요시무라 에토
hairu_ihei,우헤이 하이루
itori,이토리
rize_kamishiro,카미시로 리제
touka_kirishima,키리시마 토우카
roma_hoito,호이토 로마
ryouko_fueguchi,후에구치 류코
hinami_fueguchi,후에구치 히나미
maron,마론
bulla,부라
bulma,부르마
nazuna,나즈나
nureha,누레하
2_roe2,로에
akatsuki,아카츠키
indicus,인틱스
kanami,카나미
tetora,테토라
morgiana,모르지아나
scheherazade,셰헤라자데
sheba,시바
arba,아르바
yamraiha,야무라이히
hakuei_ren,연백련
kougyoku_ren,연홍옥
yuno_gasai,가사이 유노
minene_uryuu,우류 미루네
tsubaki_kasugano,카스가노 츠바키
raphtalia,라프타리아
malty_s_melromarc,마르티 메르로마르크
melty_q_melromarc,메르티 메르로마르크
aoi_kunieda,쿠니에다 아오이
hilda(beelzebub),힐다
revy(black_lagoon),레비
roberta(black_lagoon),로베르타
balalaika(black_lagoon),발라레이카
shenhua(black_lagoon),쉔호아
eda(black_lagoon),에다
jane(black_lagoon),제인
frederica_sawyer(black_lagoon),프레데리카 소여
hänsel_and_gretel(black_lagoon),헨젤과 그레텔
seitenshi,성천자
enju_aihara,아이하라 엔쥬
kisara_tendo,텐도 키사라
tina_sprout,티나 스프라우트
kohina_hiruko,히루코 코히나
noelle_silva,노엘 실버
mereoleona_vermillion,메레오레오나 버밀리온
mimosa_vermillion,미모사 버밀리온
charlotte_roselei,샬롯 로즈레이
nelliel_tu_odelschwanck,네리엘 투 오델슈방크
riruka_dokugamine,도쿠가미네 리루카
lilynette_gingerbuck,리리넷 진저벅
liltotto_lamperd,릴토토 램퍼드
rangiku_matsumoto,마츠모토 란기쿠
meninas_mcallon,미니냐 매컬론
bambietta_basterbine,밤비에타 바스터바인
suì-fēng,소이퐁
kūkaku_shiba,시바 쿠우카쿠
yoruichi_shihōin,시호인 요루이치
lisa_yadōmaru,야도마루 리사
ikumi_unagiya,우나기야 이쿠미
retsu_unohana,우노하나 레츠
orihime_inoue,이노우에 오히리메
nanao_ise,이세 나아오
giselle_gewelle,지젤 쥬엘
candice_catnipp,캔디스 캐트닙
isane_kotetsu,코테츠 이사네
nemu_kurotsuchi,쿠로츠지 네무
rukia_kuchiki,쿠치키 루키아
tier_harribel,티아 할리벨
kirio_hikifune,히키후네 키리오
maria_naruse,나루세 마리아
mio_naruse,나루세 미오
yuki_nonaka,노나카 유키
kurumi_nonaka,노나카 쿠루미
zest,제스트
chisato_hasegawa,하세가와 치사토
shinozaki_rika,시노자키 리카
asada_shino,아사다 시노
ayano_keiko,아야노 케이코
alice_zuberg,앨리스 신서시스 서티
yuuki_asuna,유우키 아스나
konno_yuuki,콘노 유우키
kirigaya_suguha,키리가하 스구하
kiriko,키리코
tsubaki_nakatsukasa,나카츠카사 츠바키
marie_mjolnir,마리에 묠니르
maka_albarn,마카 알반
medusa_gorgon,메두사 고르곤
blair,블레어
arachne_gorgon,아라크네 고르곤
elizabeth_thompson,엘리자베스 톰슨
patricia_thompson,패트리시아 톰슨
la_folia_rihavein,라 포리아 리하바인
natsuki_minamiya,미나미야 나츠키
avrora_florestina,아브로라 프로레스티나
astarte,아스타르테
asagi_aiba,아이바 아사기
nagisa_akatsuki,아카츠키 나기사
reina_akatsuki,아카츠키 레이나
kanon_kanase,카나세 카논
kasugaya_shizuri_castiella,카스가야 시즈리 카스티엘라
sayaka_kirasaka,키라사카 사야카
kiriha_kisaki,키사키 키아하
yuuma_tokoyogi,토코요기 유마
polifonia_rihavein,포리포니아 리하바인
yukina_himeragi,히메라기 유키나
becky_blackbell,베키 블랙벨
sylvia_sherwood,실비아 셔우드
anya_forger,아냐 포저
yor_forger,요르 포저
fiona_frost,피오나 프로스트
najenda,나젠다
leone,레오네
mine,마인
sheele,셰레
akame,아카메
esdeath,에스데스
chelsea,첼시
kurome,쿠로메
last_order,라스트 오더
leivinia_birdway,레이비니아 버드웨이
lucia,루치아
mugino_shizuri,무기노 시즈리
misaka_misuzu,미사카 미스즈
misaka_mikoto,미사카 미코토
sasha_kreutzev,사샤 크로이체프
shokuhou_misaki,쇼쿠호 미사키
sherry_cromwell,쉐리 크롬웰
agnese_sanctis,아녜제 상크티스
angelene,안젤레네
othinus,오티누스
oriana_thomson,올리비아 톰슨
orsola_aquinas,올소라 아퀴나스
itsuwa,이츠와
index_librorum_prohibitorum,인덱스
kamijou_shiina,카미조 시이나
kazakiri_hyouka,카자키리 호우카
kanzaki_kaori,칸자키 카오리
frenda_seivelun,프렌다 세이베른
hokaze_junko,호카제 준코
fukiyose_seiri,후키요세 세이리
